rodzaj,ksztalt_kapelusza,powierzchnia_kapelusza,kolor_kapelusza,zasinienia,zapach,sposob_przyrastania_blaszek,odstep_miedzy_blaszkami,rozmiar_blaszek,kolor_blaszek,ksztalt_trzonu,korzen_trzonu,powierzchnia_trzonu_nad_pierscieniem,powierzchnia_lodygi_ponizej_pierscienia,kolor_trzonu_nad_pierscieniem,kolor_trzonu_pod_pierscieniem,rodzaj_oslony,kolor_oslony,liczba_pierscieni,rodzaj_pierscienia,kolor_wysypu_zarodnikow,populacja,srodowisko
trujący,wypukły,gładki,brązowy,tak,ostry,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,miejskie
jadalny,wypukły,gładki,żółty,tak,migdałowy,wolne,mały,szeroki,czarny,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,trawy
jadalny,dzwonowy,gładki,biały,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,łąki
trujący,wypukły,łuskowaty,biały,tak,ostry,wolne,mały,wąski,brązowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,miejskie
jadalny,wypukły,gładki,szary,nie,brak,wolne,bardzo mały,szeroki,czarny,zbieżny,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,zanikający,brązowy,obfita,trawy
jadalny,wypukły,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,trawy
jadalny,dzwonowy,gładki,biały,tak,migdałowy,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,liczna,łąki
jadalny,dzwonowy,łuskowaty,biały,tak,anyż,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,łąki
trujący,wypukły,łuskowaty,biały,tak,ostry,wolne,mały,wąski,różowy,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,kilka,trawy
jadalny,dzwonowy,gładki,żółty,tak,migdałowy,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,łąki
jadalny,wypukły,łuskowaty,żółty,tak,anyż,wolne,mały,szeroki,szary,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,liczna,trawy
jadalny,wypukły,łuskowaty,żółty,tak,migdałowy,wolne,mały,szeroki,brązowy,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,czarny,rozsiana,łąki
jadalny,dzwonowy,gładki,żółty,tak,migdałowy,wolne,mały,szeroki,biały,powiększający,szerszy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,rozsiana,trawy
trujący,wypukły,łuskowaty,biały,tak,ostry,wolne,mały,wąski,czarny,powiększający,równy,gładka,gładka,biały,biały,częściowa,biały,jeden,opadający,brązowy,kilka,miejskie
jadalny,wypukły,włóknisty,brązowy,nie,brak,wolne,bardzo mały,szeroki,brązowy,zbieżny,równy,gładka,włóknista,biały,biały,częściowa,biały,jeden,zanikający,czarny,obfita,trawy
